GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,APP001,APP002,APP003,APP004
"G0951455","1880","Dakota Territory","095","Rolette","1455","Rolette",0,0,0,0
"G0951475","1880","Dakota Territory","095","Rusk","1475","Rusk",26,0,0,20
"G0951495","1880","Dakota Territory","095","Shannon","1495","Shannon",106,7,0,0
"G0951515","1880","Dakota Territory","095","Sheridan","1515","Sheridan",0,0,0,0
"G0951527","1880","Dakota Territory","095","Sisseton and Wahpeton Indian Reservations","1527","Sisseton and Wahpeton Indian Reservations",54,0,0,19
"G0951535","1880","Dakota Territory","095","Spink","1535","Spink",473,0,0,4
"G0951555","1880","Dakota Territory","095","Stanley","1555","Stanley",684,7,0,102
"G0951575","1880","Dakota Territory","095","Stark","1575","Stark",0,0,0,0
"G0951595","1880","Dakota Territory","095","Stevens","1595","Stevens",243,1,0,3
"G0951615","1880","Dakota Territory","095","Stutsman","1615","Stutsman",1004,3,0,0
"G0951635","1880","Dakota Territory","095","Sully","1635","Sully",281,5,0,10
"G0951655","1880","Dakota Territory","095","Todd","1655","Todd",194,1,0,8
"G0951675","1880","Dakota Territory","095","Traill","1675","Traill",4122,1,0,0
"G0951695","1880","Dakota Territory","095","Tripp","1695","Tripp",0,0,0,0
"G0951715","1880","Dakota Territory","095","Turner","1715","Turner",5320,0,0,0
"G0951735","1880","Dakota Territory","095","Union","1735","Union",6802,0,0,11
"G0951755","1880","Dakota Territory","095","Unorganized Territory","1755","Unorganized Territory",0,0,0,0
"G0951775","1880","Dakota Territory","095","Wallette","1775","Wallette",409,7,0,16
"G0951795","1880","Dakota Territory","095","Walworth","1795","Walworth",18,0,0,28
"G0951815","1880","Dakota Territory","095","White River","1815","White River",0,0,0,0
"G0951835","1880","Dakota Territory","095","Williams","1835","Williams",14,0,0,0
"G0951855","1880","Dakota Territory","095","Yankton","1855","Yankton",8333,55,0,2
"G0951875","1880","Dakota Territory","095","Ziebach","1875","Ziebach",0,0,0,0
"G1000010","1880","Delaware","100","Kent","0010","Kent",24760,8114,0,0
"G1000030","1880","Delaware","100","New Castle","0030","New Castle",65074,12636,1,5
"G1000050","1880","Delaware","100","Sussex","0050","Sussex",30326,5692,0,0
"G1200010","1880","Florida","120","Alachua","0010","Alachua",6446,10016,0,0
"G1200030","1880","Florida","120","Baker","0030","Baker",1660,643,0,0
"G1200070","1880","Florida","120","Bradford","0070","Bradford",4822,1290,0,0
"G1200090","1880","Florida","120","Brevard","0090","Brevard",1379,84,0,15
"G1200130","1880","Florida","120","Calhoun","0130","Calhoun",1184,396,0,0
"G1200190","1880","Florida","120","Clay","0190","Clay",2265,573,0,0
"G1200230","1880","Florida","120","Columbia","0230","Columbia",4820,4769,0,0
"G1200250","1880","Florida","120","Dade","0250","Dade",190,67,0,0
