GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G0450035","1890","Arizona Territory","045","Cochise","0035","Cochise",22,0,0,173,0,0,0,0,0,1,0,0,1583,790,988,770,1760,851,185,11
"G0450075","1890","Arizona Territory","045","Gila","0075","Gila",276,0,0,40,0,0,0,0,0,0,0,0,716,441,163,95,204,86,292,24
"G0450095","1890","Arizona Territory","045","Graham","0095","Graham",505,0,0,86,0,0,0,0,0,3,0,0,1430,1053,710,576,811,496,534,60
"G0450135","1890","Arizona Territory","045","Maricopa","0135","Maricopa",77,9,0,234,164,0,0,0,0,1,486,0,3199,2382,1257,1082,1658,1096,279,33
"G0450155","1890","Arizona Territory","045","Mohave","0155","Mohave",2,13,4,28,15,0,0,0,0,9,286,0,487,219,238,121,288,52,32,7
"G0450195","1890","Arizona Territory","045","Pima","0195","Pima",57,76,12,299,1153,0,1,2,0,904,166,6,1472,770,1850,1595,2976,2749,830,431
"G0450215","1890","Arizona Territory","045","Pinal","0215","Pinal",16,22,0,64,64,0,0,0,0,138,28,0,618,354,650,651,1069,691,150,68
"G0450255","1890","Arizona Territory","045","Yavapai","0255","Yavapai",66,31,8,169,140,12,0,0,0,27,54,6,3534,1790,973,510,1318,298,236,26
"G0450275","1890","Arizona Territory","045","Yuma","0275","Yuma",7,0,2,61,32,8,0,0,0,424,654,19,331,178,521,431,459,259,313,179
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas",3532,3067,4212,0,0,74,0,0,0,1,0,0,3672,3237,362,313,187,128,1776,1757
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley",6868,5130,3764,0,0,0,0,0,0,0,0,0,3273,3063,32,37,18,4,3445,3423
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter",18,45,0,0,0,0,0,0,0,0,0,0,4353,4064,49,26,12,5,9,9
"G0500070","1890","Arkansas","050","Benton","0070","Benton",92,128,182,0,0,0,0,0,0,2,33,9,13438,13363,324,304,120,73,40,54
"G0500090","1890","Arkansas","050","Boone","0090","Boone",91,88,74,0,0,0,0,0,0,2,0,0,7738,7760,102,74,31,18,46,47
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley",2864,2210,2529,0,0,0,0,0,0,0,0,0,2533,2510,29,19,12,5,1461,1403
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun",2720,2088,1100,0,0,0,0,0,0,0,0,0,2355,2131,25,18,17,1,1396,1324
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll",82,60,37,0,0,0,0,0,0,1,5,0,8400,8271,173,181,122,58,36,47
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot",10023,8495,5393,4,59,5,0,0,0,0,0,0,682,630,21,24,28,7,5247,4780
"G0500190","1890","Arkansas","050","Clark","0190","Clark",6785,5203,3492,0,0,0,0,0,0,11,1,0,7209,6713,103,82,65,29,3385,3411
"G0500210","1890","Arkansas","050","Clay","0210","Clay",43,22,0,0,0,0,0,0,0,1,0,0,6325,5441,170,99,88,33,27,17
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne",49,0,0,0,0,0,0,0,0,3,0,0,3963,3729,61,52,21,6,25,27
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland",3327,2329,0,0,0,0,0,0,0,1,0,0,4139,3716,90,47,34,8,1748,1580
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia",7312,5503,3718,0,0,0,0,0,0,1,0,0,6398,6042,57,49,27,7,3643,3670
"G0500290","1890","Arkansas","050","Conway","0290","Conway",7671,3206,630,0,0,0,0,0,0,0,3,0,5444,5192,309,265,306,272,3997,3674
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead",519,261,253,0,0,0,0,0,0,0,0,0,5825,5227,171,112,127,44,253,266
"G0500330","1890","Arkansas","050","Crawford","0330","Crawford",2296,1392,988,0,0,0,0,0,0,8,16,8,9561,9072,319,273,127,58,1159,1145
"G0500350","1890","Arkansas","050","Crittenden","0350","Crittenden",11890,7516,2575,0,0,0,0,0,0,0,0,3,1103,741,73,44,69,20,6297,5593
