pane,Piece,Rep,Li7,Na23,Mg25,Al27,K39,Ca42,Ti49,Mn55,Fe57,Rb85,Sr88,Zr90,Ba137,La139,Ce140,Nd146,Hf178,Pb208,mfr
P2,2,12,1.44,97500,23300,2760,1204,65230,163.8,18.42,670,2.04,31.28,36.69,10.88,4.35,9.55,3.57,0.944,1,M1
P2,2,13,1.4,96600,23120,2743,1206,64360,168.6,18.21,662,2,31.56,38,10.77,4.29,9.81,3.48,0.934,1.052,M1
P2,2,14,1.5,98600,23460,2796,1209,65220,171,18.73,643,2.05,32.15,37.75,11.2,4.31,9.7,3.66,0.991,1.031,M1
P2,2,15,1.52,98500,23280,2748,1223,64860,167.1,18.48,669,2.18,31.28,36.18,11.2,4.29,9.76,3.46,0.889,1.022,M1
P2,2,16,1.81,99550,23210,2729,1224,64500,170.9,18.91,667,2.14,31.1,35.63,11.11,4.12,9.5,3.56,0.948,1.025,M1
P2,2,17,1.66,100200,23180,2720,1234,64350,165.4,18.31,677,1.99,30.92,37,11.59,4.16,9.5,3.48,0.881,0.991,M1
P2,2,18,1.72,98000,23420,2767,1212,65240,169,18.64,659,2.06,31.85,37.9,10.62,4.36,9.73,3.72,1.052,1.048,M1
P2,2,19,1.6,98170,23430,2790,1200,65140,171.6,18.1,666,2.05,32.2,39.1,10.57,4.25,9.83,3.62,1.043,0.997,M1
P2,2,20,1.49,99940,23280,2737,1230,65980,164.4,18.16,667,2.03,32.09,38.6,11.42,4.24,9.72,3.54,0.997,1.077,M1
P2,3,1,1.32,97360,23520,2809,1202,65730,166.5,18.55,657,2.06,31.66,35.56,11.16,4.35,9.69,3.67,0.978,1.011,M1
P2,3,2,1.51,98200,23360,2774,1200.6,65230,168.1,18.72,662,2.07,31.99,35,11.05,4.3,9.64,3.47,0.872,1.042,M1
P2,3,3,1.22,98230,23230,2783,1209,64830,170.3,18.02,665,1.98,32.53,37.4,11.17,4.38,9.77,3.8,0.981,0.983,M1
P2,3,4,1.62,98400,23400,2791,1223,65820,162.4,18.75,665,2.01,31.34,36.96,11.82,4.29,9.56,3.37,0.944,1.026,M1
P2,3,5,1.38,99100,23010,2739,1229,64420,170,18.67,660,2.11,31.62,37.46,10.93,4.1,9.62,3.35,0.926,1.057,M1
P2,4,1,1.94,99500,23110,2699,1231,64340,163.7,18.52,676,2.17,31.71,35.7,11.5,4.12,9.78,3.24,0.913,1.03,M1
P2,4,2,1.8,99890,22980,2666,1225,63350,165.7,18.2,663,2.11,30.95,34.88,10.63,4.18,9.55,3.36,0.83,1.033,M1
P2,4,3,1.88,100400,23140,2680,1244,63730,163.6,18.69,679,2.16,31.26,35.5,10.67,4.23,9.61,3.4,0.962,1.011,M1
P2,4,4,1.89,100400,22850,2661,1238,63600,166.2,18.36,669,2.06,30.82,33.89,10.65,4.24,9.71,3.47,0.887,1.062,M1
P2,4,5,1.81,100900,23070,2671,1238,63440,168,18.8,669,2.17,31.06,36.17,10.64,4.11,9.58,3.57,1.015,1.053,M1
P2,5,1,1.81,99960,22940,2692,1226.4,64350,173.4,18.38,655,2.12,31.16,37.4,10.62,4.2,9.36,3.32,0.959,1.058,M1
P2,5,2,1.78,99670,23030,2700,1227,63760,168.4,18.14,646,2.04,30.84,37.04,10.83,4.21,9.51,3.47,0.996,1.013,M1
P2,5,3,1.72,100310,22990,2677,1227,63900,164.4,18.2,664,2.22,31.44,36.13,11.14,4.15,9.64,3.34,0.923,1.034,M1
P2,5,4,1.55,99100,22720,2661,1224,63830,168.6,18.77,652,2.04,30.71,35.9,10.77,4.04,9.53,3.52,0.91,1.051,M1
P2,5,5,1.91,100180,22980,2674,1234,63290,168.8,18.41,657,2.05,30.63,34.73,10.72,4.12,9.57,3.3,0.959,1,M1
P2,6,1,1.97,102300,22790,2609,1240,61530,164.5,18.26,658,2.11,29.85,33.12,10.74,4.09,9.8,3.65,0.94,1.078,M1
P2,6,2,1.62,103500,23010,2613,1256,62260,164.2,18.33,671,2.09,30.51,36.5,10.38,4.02,9.79,3.53,0.92,1.119,M1
P2,6,3,1.93,103200,22960,2594,1256,60960,157.1,18.33,645,2.14,30.56,34.41,11.09,3.93,9.82,3.24,0.922,1.134,M1
P2,6,4,1.64,103800,23020,2606,1262,61800,170.9,18.63,659,2.27,30.83,35.6,11.09,4.39,9.78,3.62,1,1.195,M1
P2,6,5,1.89,103300,22990,2624,1262,62500,168.4,18.64,658,2.11,30.73,35.4,11.27,4.23,10,3.52,0.96,1.109,M1
P2,7,1,1.7,102000,23010,2643,1262,63190,164.4,18.2,665,2.15,30.88,35.7,10.98,4.25,9.95,3.7,0.99,1.13,M1
P2,7,2,2.03,102300,23240,2693,1241,62810,165.8,18.32,658,2.1,31.44,36.8,11.27,4.19,10.11,3.5,1.04,1.111,M1
P2,7,3,1.42,102600,23130,2668,1245,62910,164.1,18.09,645,2.22,30.87,34.7,11.04,4.09,9.94,3.43,0.98,1.085,M1
P2,7,4,1.53,103300,23080,2681,1267,62710,157,18.27,650,2.04,30.95,35,10.54,4.12,9.84,3.58,0.895,1.067,M1
P2,7,5,1.71,103000,22850,2645,1257,62770,161.7,18.1,669,2.09,30.64,34.39,10.96,4.09,9.67,3.25,1.04,1.11,M1
P2,8,1,1.76,101900,23540,2702,1226,62810,167.7,17.64,654,2.03,31.37,36,10.74,4.31,9.73,3.5,0.97,1.103,M1
P2,8,2,1.75,102100,23420,2709,1244,63800,170.2,18.73,665,2.07,31.85,36.8,11.32,4.18,9.68,3.34,1,1.098,M1
P2,8,3,1.84,101360,23270,2702,1230,63090,169.4,18.61,653,2.07,31.13,35.2,11.11,4.29,9.68,3.51,0.897,1.055,M1
P2,8,4,1.74,102700,23290,2685,1250,63560,163.1,18.56,668,2.18,30.81,35.9,11.41,4.21,9.95,3.6,0.96,1.026,M1
P2,8,5,1.59,102300,23150,2672,1245,63070,168.9,18.25,658,2.2,31.19,33.87,10.9,4.25,9.73,3.74,0.93,1.053,M1
P2,9,1,1.84,101610,23500,2711,1212,62910,165.1,18.82,659,2.07,30.92,33.7,11.18,4.07,9.8,3.9,0.867,1.063,M1
P2,9,2,1.41,100740,23300,2714,1232,63350,162.5,18.19,662,2.18,31.02,34.2,10.19,4.06,9.74,3.55,0.98,1.108,M1
P2,9,3,1.76,101600,23580,2723,1223,63150,164.1,18.31,662,2.25,31.61,35.1,10.85,4.18,9.9,3.66,0.86,1.098,M1
P2,9,4,1.82,102000,23300,2706,1235,62770,174.5,18.13,664,2.09,31.33,33.7,12.12,4.03,9.56,3.57,0.882,1.125,M1
P2,9,5,1.67,101700,23350,2700,1235,63050,169,18.74,648,2.14,30.75,33.6,11.12,4.17,9.86,3.3,0.911,1.113,M1
P2,10,1,2.11,101540,23480,2728,1228,63660,166.7,18.4,661,2.14,31.29,34.5,11.64,4.31,9.73,3.41,0.88,1.103,M1
P2,10,2,1.63,100600,23060,2719,1220,63600,166.9,18.53,657,2.07,30.59,34.3,10.86,4.3,9.89,3.3,1.06,1.083,M1
P2,10,3,1.63,101070,23410,2713,1243,63870,169.3,18.53,667,2.18,31.91,35.3,11.35,4.14,9.95,3.43,1.01,1.097,M1
P2,10,4,1.84,102700,23250,2678,1240,62970,171.8,18.73,646,2.21,31.28,36.61,11.11,4.19,9.79,3.43,0.87,1.156,M1
P2,10,5,1.85,101800,22970,2666,1235,63000,168.6,18.57,653,2.13,31,35.5,10.7,4.1,9.71,3.52,0.93,1.072,M1
P2,11,1,1.66,100500,23310,2705,1222,63520,164.9,18.67,670,2.04,31.45,36.4,10.92,4.11,9.62,3.3,1.03,1.052,M1
P2,11,2,1.98,101300,23410,2693,1223,63220,172.9,18.38,647,1.97,30.74,36.7,11.17,4.09,9.85,3.61,1,1.094,M1
P2,11,3,1.54,101200,23230,2706,1212,63140,161.8,18.24,665,2.09,30.68,36.5,10.71,4.09,9.94,3.6,0.99,1.114,M1
P2,11,4,1.37,101300,23570,2723,1223,64030,164.4,19.14,681,2.14,31.6,36.4,10.82,4.07,9.53,3.45,0.94,1.069,M1
P2,11,5,1.6,100100,23160,2723,1221,64090,172.2,18.89,662,1.93,31.32,35.6,10.67,4.26,9.5,3.26,0.84,1.134,M1
P2,12,1,1.75,101130,23520,2716,1216,63600,162.9,18.74,663,1.99,31.03,36,11.3,3.97,9.52,3.89,1.01,1.089,M1
P2,12,2,1.93,100670,23270,2706,1217,63950,171.7,18.67,667,2.05,31.33,37,11.33,3.89,9.81,3.48,0.96,1.019,M1
P2,12,3,1.69,100510,23270,2732,1230,63540,172.3,18.4,651,2.14,31,36.5,11.33,4.18,9.82,3.75,0.95,1.093,M1
P2,12,4,1.73,101470,23400,2697,1244,64100,169.1,18.84,656,2.12,31.57,35.9,11.56,4.08,9.57,3.5,0.99,1.086,M1
P2,12,5,1.41,101580,23250,2685,1227,63290,168.4,18.38,665,2.12,31.1,36.49,10.81,4.02,9.53,3.37,1.01,1.116,M1
P2,13,1,1.13,97730,24210,2967,1199,67410,175.9,18.74,657,2.06,33.07,38,12.19,4.57,9.79,3.9,0.95,1.025,M1
P2,13,2,1.14,98400,24150,2945,1197,68050,179.7,19.27,676,1.95,32.39,37.5,11.42,4.72,9.81,3.75,1.02,0.973,M1
P2,13,3,1.24,98880,23850,2897,1208,66740,178.1,18.94,676,2.04,32.61,37.3,11.26,4.55,9.89,3.91,0.983,1.044,M1
P2,13,4,1.21,98800,23990,2942,1195,67150,173.5,18.62,655,2.06,32.62,38.3,11.73,4.7,9.97,3.83,1.15,1.011,M1
P2,13,5,1.16,99400,24060,2914,1217,67240,190.6,19.21,667,2.1,33.43,37.9,11.55,4.37,9.93,3.75,1.09,0.987,M1
P2,14,1,1.04,97700,24290,2941,1181,67110,172.7,18.95,656,2.02,32.73,38.7,10.83,4.48,10.04,3.97,1.03,0.968,M1
P2,14,2,1.08,97530,24110,2917,1181,68080,186.1,18.5,663,2.07,33.37,37.1,11.03,4.49,10.13,3.64,0.99,0.991,M1
P2,14,3,1.09,98210,24260,2948,1189,68540,177.8,18.89,680,2.15,33.85,38.8,11.86,4.56,10.17,3.75,1,1.036,M1
P2,14,4,1.03,99100,23830,2864,1194,66630,175.3,18.29,653,1.97,32.93,41.2,11.87,4.4,10.03,3.81,1.13,1.047,M1
P2,14,5,1.2,98070,24010,2888,1190,67410,168.1,18.29,644,2.01,33.31,42.2,11.14,4.38,9.92,3.75,1.06,1.026,M1
P2,14,6,1.11,99500,24050,2923,1218,67490,177.3,18.67,659,2.11,33.96,39.9,11.38,4.57,10.19,3.59,1.1,1.032,M1
P2,14,7,1.4,97500,24170,2925,1194,67660,170.1,18.79,676,1.97,33.67,42.1,11.56,4.6,10.01,3.81,1.14,1.04,M1
P2,14,8,1.11,99350,23990,2906,1197,67530,177.3,18.44,669,2.1,32.81,40.4,11.48,4.42,9.88,3.59,1.27,0.997,M1
P2,14,9,1.4,99400,24190,2896,1206,66580,170.6,18.5,650,1.94,32.88,40.2,11.5,4.47,9.79,3.85,1.15,1.026,M1
P2,14,10,1.34,99100,24160,2922,1204,67180,173.4,18.66,687,1.9,33.44,41.6,11.51,4.4,9.84,3.77,1.08,1.017,M1
P2,14,11,1.23,98960,24120,2888,1194,65860,182.7,18.46,657,2.15,32.96,40.7,11.27,4.51,9.86,3.59,1.08,1.014,M1
P2,14,12,1.68,100500,23910,2894,1220,66910,174.7,18.58,682,2.12,32.61,40.8,11.31,4.41,9.98,3.8,1.09,1.067,M1
P2,14,13,1.37,99460,24350,2934,1209,67670,181,18.43,673,2.15,32.65,40.5,11.97,4.47,10.24,4.11,1.14,1.064,M1
P2,14,14,1.07,99160,23940,2888,1193,66550,178.9,18.51,663,2,33.26,40.6,11.44,4.46,9.94,3.67,1.09,0.964,M1
P2,14,15,1.14,99200,24090,2898,1200,67330,180.3,18.99,652,2.11,33.73,41.9,11.65,4.68,9.76,3.65,1.1,1.07,M1
P2,14,16,1.22,98600,24120,2904,1195,66260,170.9,18.12,648,1.85,31.68,40.4,11.21,4.36,9.74,3.91,0.99,0.993,M1
P2,14,17,1.32,100000,24060,2883,1209,67750,177.3,18.68,667,2.03,32.64,40.6,11.03,4.16,9.94,4.16,0.99,1.048,M1
P2,14,18,0.94,98590,24260,2939,1188,66560,174.1,18.43,645,2.05,32.95,40.2,11.35,4.6,9.94,3.79,1.05,1.004,M1
P2,14,19,1.01,98700,24480,2963,1178,67460,169.1,19.28,657,1.96,33.08,42.2,11.31,4.44,10.09,3.5,1.02,0.999,M1
P2,14,20,1.02,98300,24300,2966,1184,67520,172.1,18.53,670,1.99,33.47,40.6,11.38,4.71,9.91,3.91,1.07,0.966,M1
P2,15,1,0.97,96850,24280,2991,1171,68490,181.3,18.85,662,2.08,33.38,41.1,12.52,4.47,9.82,3.65,1.04,1.001,M1
P2,15,2,1.15,97700,24210,2974,1186,68190,172.9,18.45,673,1.99,33.98,40.7,12.15,4.73,9.85,3.8,1.2,1.043,M1
P2,15,3,1.12,98770,24510,2979,1191,68470,174.7,19.01,661,2.18,33.62,41.5,11.23,4.51,9.83,4.3,1.03,0.981,M1
P2,15,4,1.21,97000,23940,2935,1165,67200,177.6,18.73,667,1.92,32.52,40.4,10.77,4.32,9.68,3.64,1.09,0.976,M1
P2,15,5,1.11,97900,24050,2927,1183,67510,179,18.86,642,1.85,32.48,38.2,10.99,4.42,9.99,3.64,0.97,0.988,M1
P2,16,1,1.34,98500,23750,2819,1197,65470,174.6,18.51,678,2.01,31.84,40.4,11.3,4.48,9.61,3.74,0.94,1.022,M1
P2,16,2,1.34,98960,23880,2850,1188,66020,168.7,18.43,653,1.86,32.32,40.3,11.51,4.29,9.58,3.85,0.96,1.066,M1
P2,16,3,1.51,98760,23880,2877,1187,66490,169.9,18.58,656,2.06,32.4,41.2,11.3,4.49,9.68,3.67,0.96,1.001,M1
P2,16,4,1.14,98970,23630,2825,1202,65070,170.7,18.29,638,1.8,31.66,39.2,11.09,4.13,9.44,3.66,0.988,1.048,M1
P2,16,5,1.6,100200,23660,2777,1197,64810,172.5,18.55,648,2.09,31.19,38.5,10.76,4.08,9.47,3.23,1.01,1.03,M1
P2,17,1,1.38,98710,23880,2872,1200,66100,181.3,18.78,667,2.1,31.54,33.9,11.52,4.26,9.55,3.41,0.93,1.058,M1
P2,17,2,1.37,99800,23810,2848,1199,64690,180,18.67,651,2.01,32.04,34.8,11.45,4.22,9.88,3.84,0.96,0.995,M1
P2,17,3,1.35,99170,23810,2862,1200,66510,159.8,18.45,648,2.07,31.79,36.6,10.91,4.25,9.72,3.64,0.933,1.018,M1
P2,17,4,1.69,98970,23690,2817,1203,65490,170.8,18.79,667,2.1,31.81,36.3,11.13,4.2,9.72,3.73,1.04,1.046,M1
P2,17,5,1.32,99000,23680,2842,1197,65530,169.8,18.61,666,1.93,31.29,39,10.83,4.25,9.81,3.51,1.04,1.051,M1
P2,18,1,1.31,98170,24350,2976,1190,69270,179.3,18.72,669,2.09,33.72,42.2,11.48,4.57,10.07,3.96,1.23,1.006,M1
P2,18,2,1,97960,24240,2972,1193,68240,175.8,19.01,653,2.16,33.43,40.9,11.42,4.47,9.96,3.72,1.05,0.981,M1
P2,18,3,1.37,98130,23980,2943,1199,67980,175.2,18.04,652,2.01,33.45,42.2,11.12,4.52,10.15,3.97,1.15,0.988,M1
P2,18,4,1.19,98640,24170,2945,1194,68150,177,18.72,662,1.92,32.92,40.8,11.86,4.53,9.81,3.85,0.92,1.015,M1
P2,18,5,1.01,98710,24290,2962,1188,67750,176.5,18.31,659,1.97,33.34,41.7,12.36,4.68,9.97,3.83,1.09,1.092,M1
P2,19,1,1.91,100030,23700,2762,1211,64160,173.3,18.75,642,1.96,31.71,38.4,11.17,4.15,9.78,3.58,1.03,1.066,M1
P2,19,2,1.73,100130,23620,2731,1206,64110,169.2,18.64,657,2.17,30.77,37.5,10.56,3.98,9.61,3.53,0.94,1.07,M1
P2,19,3,1.69,100300,23460,2757,1213,64560,167.1,18.91,660,2.08,31.07,37,11.41,4.19,9.5,3.24,0.95,1.047,M1
P2,19,4,1.72,101700,23610,2762,1220,64450,165.9,18.35,674,2.1,31.52,38,10.86,4.15,9.84,3.59,0.9,1.083,M1
P2,19,5,1.64,99680,23410,2752,1206,65190,171,18.73,664,2.06,31.4,38.7,11.71,4.17,9.97,3.65,1.03,1.042,M1
P2,20,1,2.07,101390,23570,2693,1230,62700,165.2,18.59,650,2.14,30.71,32.2,10.59,4.01,9.29,3.18,0.804,1.027,M1
P2,20,2,1.92,100600,23510,2702,1233,64430,167,18.38,692,2.26,30.78,34.4,10.37,3.97,9.59,3.48,0.888,1.095,M1
P2,20,3,1.75,101540,23430,2680,1236,63120,160.1,19.01,672,1.98,30.41,34.6,10.39,4.23,9.57,3.29,0.851,1.092,M1
P2,20,4,1.75,103100,23520,2649,1246,63110,163,18.84,676,1.99,30.9,33.4,10.25,4.12,9.85,3.6,0.93,1.096,M1
P2,20,5,1.83,102300,23380,2667,1220,63280,168.2,18.85,664,2.13,30.89,32.15,10.5,4.22,9.41,3.5,0.87,1.106,M1
P2,21,1,1.55,100840,23700,2733,1219,63710,169.9,18.35,671,2.08,30.92,37.1,11.44,4.18,9.9,3.72,0.96,1.071,M1
P2,21,2,1.43,101330,23760,2751,1210,64310,163.5,18.63,672,2.11,31.58,34.96,10.69,4.1,9.82,3.62,0.93,1.003,M1
P2,21,3,1.76,100840,23550,2711,1219,64450,162.7,18.75,673,2.01,31.19,34.7,11.61,4.23,9.63,3.59,1.03,1.013,M1
P2,21,4,1.67,100300,23370,2705,1228,63430,165.5,19.17,667,2.15,30.98,34.83,11.02,4.1,9.68,3.39,0.831,1.069,M1
P2,21,5,1.86,102300,23720,2735,1229,64130,167.6,18.92,670,2.05,30.44,35.7,11,4.17,9.62,3.65,1.02,1.116,M1
P2,22,1,1.62,100770,23770,2749,1220,63330,159.7,18.51,654,2.23,31.11,35.6,11.13,4.23,9.62,3.4,0.844,1.061,M1
P2,22,2,1.83,101200,23660,2710,1230,64250,172.7,18.69,666,2.02,30.87,34.9,11.02,4.13,9.8,3.33,0.819,1.091,M1
P2,22,3,1.5,100030,23460,2732,1210,63170,163.6,18.74,672,2.09,30.45,33.6,10.69,4.11,9.48,3.23,0.892,1.028,M1
P2,22,4,1.4,99600,23380,2736,1200,62940,157.2,18.27,677,2.08,30.55,32.7,10.71,4.04,9.56,3.71,0.841,0.996,M1
P2,22,5,1.87,99840,23640,2744,1218,64450,161.8,18.43,655,2.14,30.98,33.1,11.17,4.31,9.72,3.4,0.919,1.02,M1
P2,23,1,1.36,102180,23520,2705,1238,62880,175.8,18.8,690,2.04,31.41,35.3,10.89,4.02,9.46,3.69,0.75,1.069,M1
P2,23,2,1.7,102300,23440,2707,1238,63640,162,18.25,656,1.97,30.43,36.6,10.89,3.95,9.52,3.69,1,1.026,M1
P2,23,3,1.77,102100,23120,2692,1237,63390,160.1,18.57,653,2.25,30.71,34.2,10.92,4.21,9.76,3.9,0.93,1.039,M1
P2,23,4,1.5,102500,23390,2681,1254,62930,155.4,18.35,658,2.08,30.71,33.3,10.97,4.07,9.57,3.58,0.96,1.076,M1
P2,23,5,1.77,102200,23180,2674,1256,63360,169.1,17.95,658,1.93,30.85,35,10.87,4.05,9.57,3.05,0.87,1.111,M1
P2,24,1,1.89,102240,23320,2667,1246,62060,160,18.33,642,2.13,30.17,32.4,11.07,4.08,9.48,3.33,0.91,1.051,M1
P2,24,2,1.78,102300,23130,2657,1244,62350,156.1,17.63,661,2.2,30.01,32.9,10.18,4.12,9.39,3.25,0.87,1.032,M1
P2,24,3,1.73,101860,22890,2592,1252,61470,161.3,18.28,654,2.02,29.92,31.5,11.59,3.94,9.53,3.29,0.83,1.038,M1
P2,24,4,1.8,102100,23130,2634,1239,61760,168,18.31,667,2.1,30.59,32.7,10.75,3.91,9.54,3.52,0.88,1.063,M1
P2,24,5,1.67,101800,23190,2652,1251,62150,152.6,18.89,674,2.27,30.07,31.5,11.86,3.92,9.68,3.32,0.94,1.01,M1
P2,24,6,1.92,102700,23030,2643,1262,62200,156.8,17.88,653,2.19,30.1,32.3,11.22,4.1,9.48,3.24,0.87,1.092,M1
P2,24,7,1.51,102100,23200,2665,1233,61860,161.5,18.55,648,2.12,30.74,34.9,11.47,3.88,9.43,3.75,0.97,1.023,M1
P2,24,8,1.29,102200,23120,2671,1232,62980,161,18.5,675,2.03,30.53,34.9,11,4.12,9.46,3.4,0.96,1.03,M1
P2,24,9,1.92,102090,23230,2687,1243,62510,170,18.64,662,2.19,29.65,33.3,10.39,3.93,9.76,3.41,0.94,1.099,M1
P2,24,10,2.04,102900,23050,2642,1250,62080,159.1,18.34,646,2.28,30.09,33.3,11.15,3.98,9.55,3.42,0.96,1.033,M1
P2,24,11,1.73,102400,22870,2616,1259,61560,163.6,18.47,668,2.09,29.93,32.7,10.85,4.17,9.79,3.6,0.93,1.08,M1
P2,24,12,1.69,103700,23200,2632,1261,61950,165,18.64,666,2.1,30.69,33.5,10.85,4.04,9.72,3.3,0.93,1.113,M1
P2,24,13,1.5,100200,23140,2671,1213,62620,169.7,18.72,648,2.06,31.27,37.6,10.43,4.2,9.65,3.79,0.903,1.032,M1
P2,24,14,1.73,101100,23160,2674,1215,62060,165,18.58,648,2.11,30.81,36.6,10.36,3.87,9.23,3.44,0.95,1.068,M1
P2,24,15,1.36,102500,23220,2677,1229,62460,167,18.05,667,1.91,30.47,37,9.91,3.94,9.55,3.28,0.85,1.034,M1
P2,24,16,1.92,101700,23140,2675,1233,62330,164.2,18.51,651,1.95,30.44,36.1,10.54,4.12,9.52,2.97,0.89,1.062,M1
P2,24,17,1.68,102600,23130,2650,1231,62870,158.3,18.64,669,2.19,30.12,38.6,9.83,4.3,9.89,3.53,1.05,1.108,M1
P2,24,18,1.6,101900,23050,2655,1233,62360,165.4,18.16,675,2.14,30.49,37.1,10.78,4.01,9.39,3.26,0.98,1.07,M1
P2,24,19,1.58,100100,23200,2673,1213,62870,169.3,18.38,680,2.09,30.29,38.3,10.36,4.07,9.63,3.08,0.97,1.027,M1
P2,24,20,1.63,100790,23190,2712,1227,63430,154.1,18.48,671,1.99,30.5,36.4,11.15,4.07,9.69,3.42,0.98,1.027,M1
P3,1,1,2.83,107300,24530,1653,695.1,65710,116.8,124,525,1.124,29.87,32.01,12.86,2.62,4.72,2.27,0.852,1.063,M2
P3,1,2,3.03,106880,24260,1644,693.1,65980,120.3,125,515,1.061,29.32,31.23,12.07,2.55,4.56,2.03,0.824,1.12,M2
P3,1,3,3.26,107000,24410,1643,694.3,66110,113.4,123.4,524,1.049,29.37,31.5,12.47,2.54,4.8,2.27,0.845,1.025,M2
P3,1,4,3.3,106530,24160,1630,699.7,66170,117.7,126,539,1.074,29.45,31.48,12.38,2.5,4.59,2.15,0.817,1.109,M2
P3,1,5,3.08,108400,24500,1644,693.5,65230,111.9,120.9,514,1.029,29.53,30.33,12.86,2.63,4.68,2.22,0.825,1.101,M2
P3,2,1,3.14,107000,24270,1656,703.6,66580,120.3,125.4,525,1.142,30.22,29.64,12.77,2.61,4.77,2.45,0.823,1.014,M2
P3,2,2,3.22,107100,24160,1635,702.6,65950,115.5,126.6,528,1.086,29.99,29.83,12.88,2.63,4.66,2.4,0.847,1.092,M2
P3,2,3,3.3,108200,24230,1627,712.4,66210,122.3,129,538,1.13,30.17,29.3,12.56,2.62,4.95,2.28,0.88,1.027,M2
P3,2,4,3.26,108600,24720,1636,710.6,65400,112.7,121.6,525,1.036,28.84,30.04,12.86,2.53,4.74,2.34,0.799,1.03,M2
P3,2,5,3.52,107900,24150,1614,704.9,65570,122.5,127.2,523,1.105,29.93,30.78,13.3,2.59,4.83,2.25,0.873,1.096,M2
P3,2,6,3.41,107400,24220,1606,705.5,65330,118.9,126.5,532,1.142,29.39,29.7,12.76,2.575,4.65,2.15,0.728,1.06,M2
P3,2,7,3.43,107900,24380,1615,714.6,65470,120.7,126,527,0.966,29.25,30.32,12.48,2.58,4.69,2.17,0.873,1.094,M2
P3,2,8,3.4,108100,24460,1629,700.9,65070,115.9,124.4,524,1.109,29.84,31.27,12.82,2.499,4.82,2.1,0.87,1.042,M2
P3,2,9,3.24,107200,24080,1602,701.9,64490,120.5,125.8,521,1.076,29.43,30.67,12.87,2.58,4.68,2.38,0.81,1.09,M2
P3,2,10,3.68,108400,24010,1604,705.8,65640,124.9,130.3,558,1.121,30.24,31.09,12.08,2.58,4.83,2.27,0.906,1.105,M2
P3,2,11,3.44,106670,24040,1615,702.9,66790,124.3,131.6,546,1.118,30.07,31.62,13.24,2.56,4.85,2.34,0.84,1.112,M2
P3,2,12,3.16,107700,24320,1626,705.3,65490,116,126,528,1.126,29.74,31.54,12.58,2.6,4.84,2.33,0.864,1.16,M2
P3,2,13,4.3,109700,24330,1601,705.3,65690,123,130.2,547,1.14,30.63,30.9,12.58,2.53,4.76,2.24,0.99,1.016,M2
P3,2,14,4,107900,24320,1616,696.1,65410,118.1,126.9,528,1.082,30.15,31.72,12.56,2.6,4.91,2.04,0.861,1.128,M2
P3,2,15,3.92,107200,24070,1603,697.7,64870,122,128.8,525,1.108,30.09,31.14,12.71,2.542,4.83,2.34,0.803,1.114,M2
P3,2,16,3.85,108200,24010,1594,706.5,64390,116,126.9,515,1.029,29.1,28.25,12.5,2.53,4.73,2.35,0.784,1.137,M2
P3,2,17,3.32,106500,23900,1596,701.6,65060,119.9,127.1,547,1.051,28.94,30.2,11.94,2.51,4.68,2.21,0.872,1.062,M2
P3,2,18,3.8,106700,23940,1594,701.2,64900,122,127.5,528,1.114,29.09,28.75,12.61,2.51,4.76,2.29,0.784,1.074,M2
P3,2,19,3.25,106900,24060,1603,699.1,63700,113.3,121,505,1.054,28.44,29.52,12.24,2.502,4.57,2.15,0.888,1.116,M2
P3,2,20,2.88,106600,24100,1610,703,65220,121.8,127,533,1.107,29.24,30.68,12.5,2.48,4.85,2.23,0.824,1.134,M2
P3,3,1,3.18,105710,24360,1638,683.1,65630,120,127.1,531,1.092,29.4,29.88,12.54,2.445,4.61,2.25,0.784,1.04,M2
P3,3,2,4.11,106020,24360,1629.6,684.5,66130,122.1,129,544,1.096,29.59,29.32,12.29,2.48,4.6,2.17,0.862,1.068,M2
P3,3,3,3.66,106340,24390,1639,691.3,65750,118.5,126.9,528,1.003,29.51,29.92,12.67,2.587,4.59,2.19,0.753,1.031,M2
P3,3,4,3.08,105940,24240,1621,692.3,65690,117.1,127.1,534,1.12,29.38,29.5,12.95,2.463,4.63,2.24,0.809,1.075,M2
P3,3,5,3.05,105790,24330,1629,695.7,65690,119.5,126.4,523,0.994,29.33,29.08,12.51,2.487,4.63,2.14,0.82,1.02,M2
P3,4,1,3.17,105200,23940,1633,696.3,67490,129.9,133.9,544,1.079,29.88,30.18,12.43,2.61,4.56,2.11,0.834,1.042,M2
P3,4,2,3.31,106480,24100,1634,689.7,66100,123.1,129,536,1.12,29.54,29.46,12.31,2.527,4.64,2.25,0.855,1.031,M2
P3,4,3,3.4,106500,24320,1638,697.5,65350,120.1,126,520,1.077,29.17,28.79,12.01,2.562,4.62,2.14,0.822,1.101,M2
P3,4,4,3.54,105680,24020,1629,696.5,66180,118.2,127.3,530,1.035,29.33,31.87,12.44,2.46,4.63,2.26,0.826,1.035,M2
P3,4,5,2.59,106680,24290,1643,695,66060,119.8,127.5,531,1.1,29.53,32.19,12.88,2.505,4.67,2.14,0.877,1.063,M2
P3,5,1,2.73,106450,24350,1663,695.1,66140,117.3,126.3,517,1.083,29.44,31.55,12.49,2.565,4.68,2.34,0.853,1.091,M2
P3,5,2,2.72,105340,23830,1619,695.4,67270,128.9,133.6,554,1.107,29.62,31.86,12.15,2.5,4.56,2.29,0.788,1.022,M2
