GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AK3001,AK3002,AK3003,AK3004
"G1200330","1870","Florida","120","Escambia","0330","Escambia",4937,2880,0,0
"G1200370","1870","Florida","120","Franklin","0370","Franklin",781,475,0,0
"G1200390","1870","Florida","120","Gadsden","0390","Gadsden",3764,6038,0,0
"G1200470","1870","Florida","120","Hamilton","0470","Hamilton",3386,2363,0,0
"G1200530","1870","Florida","120","Hernando","0530","Hernando",2083,854,0,1
"G1200570","1870","Florida","120","Hillsborough","0570","Hillsborough",2670,546,0,0
"G1200590","1870","Florida","120","Holmes","0590","Holmes",1435,137,0,0
"G1200630","1870","Florida","120","Jackson","0630","Jackson",3930,5598,0,0
"G1200650","1870","Florida","120","Jefferson","0650","Jefferson",3501,9897,0,0
"G1200670","1870","Florida","120","Lafayette","0670","Lafayette",1586,197,0,0
"G1200730","1870","Florida","120","Leon","0730","Leon",2895,12341,0,0
"G1200750","1870","Florida","120","Levy","0750","Levy",1623,395,0,0
"G1200770","1870","Florida","120","Liberty","0770","Liberty",727,323,0,0
"G1200790","1870","Florida","120","Madison","0790","Madison",4429,6692,0,0
"G1200810","1870","Florida","120","Manatee","0810","Manatee",1843,88,0,0
"G1200830","1870","Florida","120","Marion","0830","Marion",2926,7878,0,0
"G1200870","1870","Florida","120","Monroe","0870","Monroe",4631,1026,0,0
"G1200890","1870","Florida","120","Nassau","0890","Nassau",2277,1970,0,0
"G1200950","1870","Florida","120","Orange","0950","Orange",1997,198,0,0
"G1201050","1870","Florida","120","Polk","1050","Polk",2687,482,0,0
"G1201070","1870","Florida","120","Putnam","1070","Putnam",2487,1334,0,0
"G1201090","1870","Florida","120","St Johns","1090","St Johns",1937,681,0,0
"G1201130","1870","Florida","120","Santa Rosa","1130","Santa Rosa",2750,562,0,0
"G1201190","1870","Florida","120","Sumter","1190","Sumter",1972,980,0,0
"G1201210","1870","Florida","120","Suwannee","1210","Suwannee",2121,1435,0,0
"G1201230","1870","Florida","120","Taylor","1230","Taylor",1374,79,0,0
"G1201270","1870","Florida","120","Volusia","1270","Volusia",1395,328,0,0
"G1201290","1870","Florida","120","Wakulla","1290","Wakulla",1562,944,0,0
"G1201310","1870","Florida","120","Walton","1310","Walton",2636,405,0,0
"G1201330","1870","Florida","120","Washington","1330","Washington",1928,373,0,1
"G1300010","1870","Georgia","130","Appling","0010","Appling",4110,976,0,0
"G1300070","1870","Georgia","130","Baker","0070","Baker",1888,4955,0,0
"G1300090","1870","Georgia","130","Baldwin","0090","Baldwin",3844,6774,0,0
"G1300110","1870","Georgia","130","Banks","0110","Banks",4052,921,0,0
"G1300150","1870","Georgia","130","Bartow","0150","Bartow",11846,4719,0,1
"G1300190","1870","Georgia","130","Berrien","0190","Berrien",4057,460,0,1
"G1300210","1870","Georgia","130","Bibb","0210","Bibb",9831,11424,0,0
"G1300270","1870","Georgia","130","Brooks","0270","Brooks",4111,4231,0,0
"G1300290","1870","Georgia","130","Bryan","0290","Bryan",1647,3605,0,0
"G1300310","1870","Georgia","130","Bulloch","0310","Bulloch",3866,1744,0,0
"G1300330","1870","Georgia","130","Burke","0330","Burke",4243,13436,0,0
"G1300350","1870","Georgia","130","Butts","0350","Butts",3496,3445,0,0
"G1300370","1870","Georgia","130","Calhoun","0370","Calhoun",2026,3477,0,0
"G1300390","1870","Georgia","130","Camden","0390","Camden",1458,3157,0,0
"G1300395","1870","Georgia","130","Campbell","0395","Campbell",6589,2587,0,0
"G1300450","1870","Georgia","130","Carroll","0450","Carroll",10473,1309,0,0
"G1300470","1870","Georgia","130","Catoosa","0470","Catoosa",3793,616,0,0
"G1300490","1870","Georgia","130","Charlton","0490","Charlton",1496,401,0,0
"G1300510","1870","Georgia","130","Chatham","0510","Chatham",16760,24518,0,1
"G1300530","1870","Georgia","130","Chattahoochee","0530","Chattahoochee",2654,3405,0,0
"G1300550","1870","Georgia","130","Chattooga","0550","Chattooga",5399,1503,0,0
"G1300570","1870","Georgia","130","Cherokee","0570","Cherokee",9117,1281,0,1
"G1300590","1870","Georgia","130","Clarke","0590","Clarke",6488,6453,0,0
"G1300610","1870","Georgia","130","Clay","0610","Clay",2644,2849,0,0
"G1300630","1870","Georgia","130","Clayton","0630","Clayton",3734,1743,0,0
"G1300650","1870","Georgia","130","Clinch","0650","Clinch",3437,507,1,0
"G1300670","1870","Georgia","130","Cobb","0670","Cobb",10593,3217,0,4
"G1300690","1870","Georgia","130","Coffee","0690","Coffee",2514,678,0,0
"G1300710","1870","Georgia","130","Colquitt","0710","Colquitt",1517,137,0,0
"G1300730","1870","Georgia","130","Columbia","0730","Columbia",4080,9449,0,0
"G1300770","1870","Georgia","130","Coweta","0770","Coweta",7856,8019,0,0
"G1300790","1870","Georgia","130","Crawford","0790","Crawford",3284,4273,0,0
"G1300830","1870","Georgia","130","Dade","0830","Dade",2788,245,0,0
"G1300850","1870","Georgia","130","Dawson","0850","Dawson",4032,337,0,0
"G1300870","1870","Georgia","130","Decatur","0870","Decatur",7465,7718,0,0
"G1300890","1870","Georgia","130","DeKalb","0890","De Kalb",7352,2662,0,0
"G1300930","1870","Georgia","130","Dooly","0930","Dooly",4935,4855,0,0
"G1300950","1870","Georgia","130","Dougherty","0950","Dougherty",2093,9424,0,0
"G1300990","1870","Georgia","130","Early","0990","Early",2826,4172,0,0
"G1301010","1870","Georgia","130","Echols","1010","Echols",1513,465,0,0
"G1301030","1870","Georgia","130","Effingham","1030","Effingham",2507,1704,0,3
"G1301050","1870","Georgia","130","Elbert","1050","Elbert",4386,4863,0,0
"G1301070","1870","Georgia","130","Emanuel","1070","Emanuel",4431,1703,0,0
"G1301110","1870","Georgia","130","Fannin","1110","Fannin",5285,144,0,0
"G1301130","1870","Georgia","130","Fayette","1130","Fayette",5683,2538,0,0
"G1301150","1870","Georgia","130","Floyd","1150","Floyd",11473,5753,0,4
"G1301170","1870","Georgia","130","Forsyth","1170","Forsyth",6862,1121,0,0
"G1301190","1870","Georgia","130","Franklin","1190","Franklin",6034,1859,0,0
"G1301210","1870","Georgia","130","Fulton","1210","Fulton",18164,15282,0,0
"G1301230","1870","Georgia","130","Gilmer","1230","Gilmer",6527,117,0,0
"G1301250","1870","Georgia","130","Glascock","1250","Glascock",1917,819,0,0
"G1301270","1870","Georgia","130","Glynn","1270","Glynn",1926,3450,0,0
"G1301290","1870","Georgia","130","Gordon","1290","Gordon",7726,1536,0,6
"G1301330","1870","Georgia","130","Greene","1330","Greene",4298,8156,0,0
"G1301350","1870","Georgia","130","Gwinnett","1350","Gwinnett",10272,2159,0,0
"G1301370","1870","Georgia","130","Habersham","1370","Habersham",5373,949,0,0
"G1301390","1870","Georgia","130","Hall","1390","Hall",8317,1290,0,0
"G1301410","1870","Georgia","130","Hancock","1410","Hancock",3645,7672,0,0
"G1301430","1870","Georgia","130","Haralson","1430","Haralson",3685,319,0,0
"G1301450","1870","Georgia","130","Harris","1450","Harris",5791,7493,0,0
"G1301470","1870","Georgia","130","Hart","1470","Hart",4841,1942,0,0
"G1301490","1870","Georgia","130","Heard","1490","Heard",5218,2648,0,0
"G1301510","1870","Georgia","130","Henry","1510","Henry",6269,3833,0,0
"G1301530","1870","Georgia","130","Houston","1530","Houston",5071,15332,0,3
"G1301550","1870","Georgia","130","Irwin","1550","Irwin",1541,296,0,0
"G1301570","1870","Georgia","130","Jackson","1570","Jackson",7471,3710,0,0
"G1301590","1870","Georgia","130","Jasper","1590","Jasper",3884,6555,0,0
"G1301630","1870","Georgia","130","Jefferson","1630","Jefferson",4247,7943,0,0
"G1301670","1870","Georgia","130","Johnson","1670","Johnson",2049,915,0,0
"G1301690","1870","Georgia","130","Jones","1690","Jones",2991,6445,0,0
"G1301750","1870","Georgia","130","Laurens","1750","Laurens",4180,3654,0,0
"G1301770","1870","Georgia","130","Lee","1770","Lee",1924,7643,0,0
"G1301790","1870","Georgia","130","Liberty","1790","Liberty",2428,5260,0,0
"G1301810","1870","Georgia","130","Lincoln","1810","Lincoln",1797,3616,0,0
"G1301850","1870","Georgia","130","Lowndes","1850","Lowndes",4276,4045,0,0
"G1301870","1870","Georgia","130","Lumpkin","1870","Lumpkin",4699,462,0,0
"G1301910","1870","Georgia","130","McIntosh","1910","Mcintosh",1196,3288,0,7
"G1301930","1870","Georgia","130","Macon","1930","Macon",3975,7483,0,0
"G1301950","1870","Georgia","130","Madison","1950","Madison",3646,1581,0,0
"G1301970","1870","Georgia","130","Marion","1970","Marion",4169,3830,0,1
"G1301990","1870","Georgia","130","Meriwether","1990","Meriwether",6387,7369,0,0
"G1302010","1870","Georgia","130","Miller","2010","Miller",2135,956,0,0
"G1302015","1870","Georgia","130","Milton","2015","Milton",3818,466,0,0
"G1302050","1870","Georgia","130","Mitchell","2050","Mitchell",3683,2950,0,0
"G1302070","1870","Georgia","130","Monroe","2070","Monroe",6409,10804,0,0
"G1302090","1870","Georgia","130","Montgomery","2090","Montgomery",2478,1108,0,0
"G1302110","1870","Georgia","130","Morgan","2110","Morgan",3637,7058,0,1
