"Year","State","TOTAL.POPULATION","SLAVES","Type","FEMALE.SLAVES","MALES.SLAVES","TOTAL.SLAVES","TOTAL.FEMALE.SLAVES","TOTAL.MALE.SLAVES","AGGR..SLAVES"
1860,"KENTUCKY",1155684,NA,"State",NA,NA,NA,112474,113009,225483
1860,"LOUISIANA",708002,NA,"State",NA,NA,NA,159749,171977,331726
1860,"MAINE",628279,NA,"State",NA,NA,NA,NA,NA,NA
1860,"MARYLAND",687049,NA,"State",NA,NA,NA,42876,44313,87189
1860,"MASSACHUSETTS",1231066,NA,"State",NA,NA,NA,NA,NA,NA
1860,"MICHIGAN",749113,NA,"State",NA,NA,NA,NA,NA,NA
1860,"MINNESOTA",172023,NA,"State",NA,NA,NA,NA,NA,NA
1860,"MISSISSIPPI",791305,NA,"State",NA,NA,NA,217330,219301,436631
1860,"MISSOURI",1182012,NA,"State",NA,NA,NA,57571,57360,114931
1860,"NEBRASKA",28841,NA,"Territory",NA,NA,NA,9,6,15
1860,"NEVADA",6857,NA,"Territory",NA,NA,NA,NA,NA,NA
1860,"NEW HAMPSHIRE",326073,NA,"State",NA,NA,NA,NA,NA,NA
1860,"NEW JERSEY",672035,NA,"State",NA,NA,NA,12,6,18
1860,"NEW YORK",3880735,NA,"State",NA,NA,NA,NA,NA,NA
1860,"NORTH CAROLINA",992622,NA,"State",NA,NA,NA,164590,166469,331059
1860,"OHIO",2339511,NA,"State",NA,NA,NA,NA,NA,NA
1860,"OREGON",52465,NA,"State",NA,NA,NA,NA,NA,NA
1860,"PENNSYLVANIA",2906215,NA,"State",NA,NA,NA,NA,NA,NA
1860,"RHODE ISLAND",174620,NA,"State",NA,NA,NA,NA,NA,NA
1860,"SOUTH CAROLINA",703708,NA,"State",NA,NA,NA,205835,196571,402406
1860,"TENNESSEE",1109801,NA,"State",NA,NA,NA,139349,136370,275719
1860,"TEXAS",604215,NA,"State",NA,NA,NA,91377,91189,182566
1860,"VERMONT",315098,NA,"State",NA,NA,NA,NA,NA,NA
1860,"VIRGINIA",1596318,NA,"State",NA,NA,NA,241382,249483,490865
1860,"WISCONSIN",775881,NA,"State",NA,NA,NA,NA,NA,NA
1870,"ALABAMA",996992,NA,"State",NA,NA,NA,NA,NA,NA
1870,"ARKANSAS",484471,NA,"State",NA,NA,NA,NA,NA,NA
1870,"CALIFORNIA",560247,NA,"State",NA,NA,NA,NA,NA,NA
1870,"COLORADO",39864,NA,"Territory",NA,NA,NA,NA,NA,NA
1870,"CONNECTICUT",537454,NA,"State",NA,NA,NA,NA,NA,NA
1870,"DELAWARE",125015,NA,"State",NA,NA,NA,NA,NA,NA
